timestamp,temp_c,rh,rain_mm
2025-08-01 00:00:00,15.7,81,0.0
2025-08-01 01:00:00,15.4,84,0.0
2025-08-01 02:00:00,15.1,85,0.0
2025-08-01 03:00:00,15.2,85,0.0
2025-08-01 04:00:00,14.7,86,0.0
2025-08-01 05:00:00,14.2,89,0.0
2025-08-01 06:00:00,14.0,89,0.0
2025-08-01 07:00:00,14.4,90,0.1
2025-08-01 08:00:00,15.8,87,0.1
2025-08-01 09:00:00,17.5,80,0.0
2025-08-01 10:00:00,18.7,79,0.0
2025-08-01 11:00:00,19.9,75,0.0
2025-08-01 12:00:00,20.3,67,0.0
2025-08-01 13:00:00,21.3,59,0.0
2025-08-01 14:00:00,21.1,62,0.0
2025-08-01 15:00:00,21.3,56,0.0
2025-08-01 16:00:00,20.9,54,0.0
2025-08-01 17:00:00,20.5,50,0.0
2025-08-01 18:00:00,19.9,55,0.0
2025-08-01 19:00:00,19.0,58,0.0
2025-08-01 20:00:00,17.1,67,0.0
2025-08-01 21:00:00,15.2,76,0.0
2025-08-01 22:00:00,14.3,76,0.0
2025-08-01 23:00:00,12.9,81,0.0
2025-08-02 00:00:00,11.9,81,0.0
2025-08-02 01:00:00,11.2,87,0.0
2025-08-02 02:00:00,10.7,86,0.0
2025-08-02 03:00:00,10.2,87,0.0
2025-08-02 04:00:00,9.6,88,0.0
2025-08-02 05:00:00,9.6,84,0.0
2025-08-02 06:00:00,9.2,83,0.0
2025-08-02 07:00:00,9.9,92,0.0
2025-08-02 08:00:00,14.3,89,0.0
2025-08-02 09:00:00,17.6,85,0.0
2025-08-02 10:00:00,18.8,79,0.0
2025-08-02 11:00:00,19.6,77,0.0
2025-08-02 12:00:00,20.1,73,0.0
2025-08-02 13:00:00,20.8,61,0.0
2025-08-02 14:00:00,22.2,55,0.0
2025-08-02 15:00:00,23.0,48,0.0
2025-08-02 16:00:00,23.7,41,0.0
2025-08-02 17:00:00,23.9,39,0.0
2025-08-02 18:00:00,23.8,35,0.0
2025-08-02 19:00:00,21.7,50,0.0
2025-08-02 20:00:00,20.9,51,0.0
2025-08-02 21:00:00,18.8,59,0.0
2025-08-02 22:00:00,17.9,66,0.0
2025-08-02 23:00:00,16.7,69,0.0
2025-08-03 00:00:00,16.2,75,0.0
2025-08-03 01:00:00,16.3,71,0.0
2025-08-03 02:00:00,16.6,67,0.0
2025-08-03 03:00:00,15.6,74,0.0
2025-08-03 04:00:00,15.4,71,0.0
2025-08-03 05:00:00,15.3,74,0.0
2025-08-03 06:00:00,15.3,78,0.0
2025-08-03 07:00:00,15.5,81,0.0
2025-08-03 08:00:00,16.6,84,0.0
2025-08-03 09:00:00,17.7,82,0.0
2025-08-03 10:00:00,19.3,73,0.0
2025-08-03 11:00:00,21.3,69,0.0
2025-08-03 12:00:00,23.3,61,0.0
2025-08-03 13:00:00,24.7,55,0.0
2025-08-03 14:00:00,25.0,53,0.0
2025-08-03 15:00:00,25.4,52,0.0
2025-08-03 16:00:00,25.6,54,0.0
2025-08-03 17:00:00,24.6,55,0.0
2025-08-03 18:00:00,24.2,56,0.0
2025-08-03 19:00:00,23.4,51,0.0
2025-08-03 20:00:00,21.9,56,0.0
2025-08-03 21:00:00,20.0,61,0.0
2025-08-03 22:00:00,19.3,65,0.0
2025-08-03 23:00:00,18.9,70,0.0
2025-08-04 00:00:00,18.8,68,0.0
2025-08-04 01:00:00,18.3,74,0.0
2025-08-04 02:00:00,17.7,73,0.0
2025-08-04 03:00:00,17.4,79,0.0
2025-08-04 04:00:00,17.0,83,0.0
2025-08-04 05:00:00,17.5,82,0.0
2025-08-04 06:00:00,16.6,83,0.0
2025-08-04 07:00:00,16.8,84,0.0
2025-08-04 08:00:00,17.7,85,0.0
2025-08-04 09:00:00,18.4,85,0.0
2025-08-04 10:00:00,19.0,84,0.0
2025-08-04 11:00:00,20.3,86,0.0
2025-08-04 12:00:00,20.9,87,0.0
2025-08-04 13:00:00,22.1,85,0.0
2025-08-04 14:00:00,23.9,72,0.0
2025-08-04 15:00:00,24.4,68,0.0
2025-08-04 16:00:00,24.6,65,0.0
2025-08-04 17:00:00,24.2,68,0.0
2025-08-04 18:00:00,23.9,69,0.0
2025-08-04 19:00:00,23.2,71,0.0
2025-08-04 20:00:00,22.1,57,0.0
2025-08-04 21:00:00,19.0,75,0.0
2025-08-04 22:00:00,17.5,80,0.0
2025-08-04 23:00:00,16.6,89,0.0
2025-08-05 00:00:00,16.2,83,0.0
2025-08-05 01:00:00,14.7,83,0.0
2025-08-05 02:00:00,13.6,79,0.0
2025-08-05 03:00:00,12.2,87,0.0
2025-08-05 04:00:00,11.9,89,0.0
2025-08-05 05:00:00,11.0,94,0.0
2025-08-05 06:00:00,10.8,98,0.0
2025-08-05 07:00:00,11.7,95,0.0
2025-08-05 08:00:00,15.2,84,0.0
2025-08-05 09:00:00,18.3,74,0.0
2025-08-05 10:00:00,20.2,63,0.0
2025-08-05 11:00:00,20.6,65,0.0
2025-08-05 12:00:00,21.2,59,0.0
2025-08-05 13:00:00,21.6,59,0.0
2025-08-05 14:00:00,21.9,55,0.0
2025-08-05 15:00:00,22.4,52,0.0
2025-08-05 16:00:00,21.6,62,0.0
2025-08-05 17:00:00,21.1,60,0.0
2025-08-05 18:00:00,20.4,61,0.0
2025-08-05 19:00:00,19.4,64,0.0
2025-08-05 20:00:00,18.2,66,0.0
2025-08-05 21:00:00,16.3,73,0.0
2025-08-05 22:00:00,14.4,83,0.0
2025-08-05 23:00:00,13.2,91,0.0
2025-08-06 00:00:00,12.1,96,0.0
2025-08-06 01:00:00,10.8,100,0.0
2025-08-06 02:00:00,10.6,99,0.0
2025-08-06 03:00:00,10.5,100,0.0
2025-08-06 04:00:00,9.6,98,0.0
2025-08-06 05:00:00,9.6,98,0.0
2025-08-06 06:00:00,9.2,98,0.0
2025-08-06 07:00:00,9.8,98,0.0
2025-08-06 08:00:00,13.5,94,0.0
2025-08-06 09:00:00,18.2,75,0.0
2025-08-06 10:00:00,20.1,55,0.0
2025-08-06 11:00:00,21.0,48,0.0
2025-08-06 12:00:00,21.8,47,0.0
2025-08-06 13:00:00,22.4,41,0.0
2025-08-06 14:00:00,22.8,37,0.0
2025-08-06 15:00:00,23.0,37,0.0
2025-08-06 16:00:00,23.1,40,0.0
2025-08-06 17:00:00,23.3,37,0.0
2025-08-06 18:00:00,22.7,39,0.0
2025-08-06 19:00:00,21.9,40,0.0
2025-08-06 20:00:00,20.2,46,0.0
2025-08-06 21:00:00,17.3,54,0.0
2025-08-06 22:00:00,15.0,63,0.0
2025-08-06 23:00:00,12.9,75,0.0
2025-08-07 00:00:00,11.7,81,0.0
2025-08-07 01:00:00,10.8,83,0.0
2025-08-07 02:00:00,10.6,85,0.0
2025-08-07 03:00:00,10.8,78,0.0
